id, topics,components,pr_number
5346,None,Criminal Division; ,14-997; 
5347,None,Civil Rights - Criminal Section; Office of the Attorney General; ,14-997; 
5348,None,Tax Division; ,14-994; 
5349,None,Civil Division; ,14-992; 
5350,None,National Security Division (NSD); ,14-991; 
5351,None,Criminal Division; ,14-988; 
5352,None,Criminal Division; ,14-987; 
5353,None,Environment and Natural Resources Division; ,14-985; 
5354,None,Antitrust Division; ,14-986; 
5355,None,Civil Division; ,14-984; 
5356,None,Tax Division; ,14-983; 
5357,None,Criminal Division; ,14-982; 
5358,None,Office of the Attorney General; ,14-981; 
5359,None,Office of the Attorney General; ,14-980; 
5360,Access to Justice; ,Office for Access to Justice; Office of the Attorney General; ,14-979; 
5361,None,Criminal Division; ,14-978; 
5362,None,Tax Division; ,14-977; 
5363,None,Community Oriented Policing Services (COPS); ,14-976; 
5364,Consumer Protection; ,Civil Division; ,14-975; 
5365,Consumer Protection; ,Civil Division; ,14-974; 
5366,None,National Security Division (NSD); ,14-971; 
5367,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-973; 
5368,None,Criminal Division; ,14-972; 
5369,None,Tax Division; ,14-970; 
5370,None,Criminal Division; ,14-969; 
5371,None,Tax Division; ,14-968; 
5372,None,Office of the Attorney General; ,14-967; 
5373,None,Criminal Division; ,14-966; 
5374,None,Criminal Division; ,14-965; 
5375,None,Criminal Division; ,14-964; 
5376,None,Tax Division; ,14-962; 
5377,None,None,14-961; 
5378,None,Tax Division; ,14-960; 
5379,None,Criminal Division; ,14-959; 
5380,None,Office of the Attorney General; ,14-958; 
5381,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-957; 
5382,None,National Security Division (NSD); ,14-956; 
5383,None,Civil Rights Division; Civil Rights - Criminal Section; Civil Rights - Housing and Civil Enforcement Section; ,14-951; 
5384,None,Civil Rights Division; Civil Rights - Criminal Section; Civil Rights - Employment Litigation Section; ,14-954; 
5385,None,Environment and Natural Resources Division; ,14-953; 
5386,Consumer Protection; ,Civil Division; ,14-952; 
5387,None,Tax Division; ,14-950; 
5388,None,Civil Division; ,14-949; 
5389,None,Office of the Attorney General; ,14-947; 
5390,None,Criminal Division; ,14-948; 
5391,None,Criminal Division; ,14-946; 
5392,None,Tax Division; ,14-945; 
5393,None,Tax Division; ,14-944; 
5394,None,Civil Division; ,14-943; 
5395,None,Office of Public Affairs; ,14-942; 
5396,None,Tax Division; ,14-941; 
5397,None,Office of the Attorney General; ,14-940; 
5398,None,Criminal Division; ,14-939; 
5399,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-937; 
5400,None,Criminal Division; ,14-936; 
5401,Consumer Protection; ,Civil Division; ,14-935; 
5402,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-933; 
5403,None,Criminal Division; ,14-932; 
5404,None,Environment and Natural Resources Division; ,14-931; 
5405,None,Office of the Attorney General; ,14-929; 
5406,None,Office of the Attorney General; ,14-928; 
5407,None,Tax Division; ,14-930; 
5408,None,Criminal Division; ,14-927; 
5409,None,Environment and Natural Resources Division; ,14-926; 
5410,None,Criminal Division; ,14-925; 
5411,None,Environment and Natural Resources Division; ,14-925; 
5412,None,Tax Division; ,14-924; 
5413,None,Civil Rights Division; Civil Rights - Criminal Section; Civil Rights - Immigrant and Employee Rights Section; ,14-923; 
5414,None,Criminal Division; ,14-923; 
5415,None,Civil Rights Division; ,14-922; 
5416,None,Criminal Division; ,14-921; 
5417,None,Civil Division; ,14-920; 
5418,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-919; 
5419,None,Criminal Division; ,14-918; 
5420,None,Criminal Division; ,14-917; 
5421,None,Criminal Division; ,14-916; 
5422,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-912; 
5423,None,None,14-913; 
5424,None,Civil Division; ,14-915; 
5425,None,Criminal Division; ,14-914; 
5426,None,Criminal Division; ,14-911; 
5427,None,Civil Rights Division; Civil Rights - Criminal Section; Civil Rights - Housing and Civil Enforcement Section; ,14-910; 
5428,None,Environment and Natural Resources Division; ,14-909; 
5429,None,Criminal Division; ,14-908; 
5430,None,Criminal Division; ,14-907; 
5431,None,Environment and Natural Resources Division; ,14-906; 
5432,None,Antitrust Division; ,14-905; 
5433,None,Criminal Division; ,14-904; 
5434,None,Tax Division; ,14-898; 
5435,None,Criminal Division; ,14-899; 
5436,None,Office on Violence Against Women; ,14-903; 
5437,None,Office of the Attorney General; ,14-902; 
5438,None,Environment and Natural Resources Division; ,14-901; 
5439,None,Criminal Division; ,14-900; 
5440,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-890; 
5441,None,Criminal Division; ,14-891; 
5442,None,Tax Division; ,14-892; 
5443,None,Civil Rights Division; Civil Rights - Criminal Section; Civil Rights - Housing and Civil Enforcement Section; ,14-893; 
5444,None,Criminal Division; ,14-894; 
5445,None,Criminal Division; ,14-895; 
5446,None,Criminal Division; ,14-896; 
5447,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-897; 
5448,None,Tax Division; ,14-887; 
5449,None,Criminal Division; ,14-888; 
5450,None,Criminal Division; ,14-889; 
5451,None,Office of the Attorney General; ,14-884; 
5452,None,Tax Division; ,14-885; 
5453,None,Criminal Division; ,14-886; 
5454,None,Tax Division; ,14-879; 
5455,None,Antitrust Division; ,14-880; 
5456,None,Civil Rights Division; Civil Rights - Criminal Section; Civil Rights - Disability Rights Section; ,14-881; 
5457,None,Criminal Division; ,14-882; 
5458,None,Civil Division; ,14-875; 
5459,None,Antitrust Division; ,14-876; 
5460,None,Tax Division; ,14-877; 
5461,None,Civil Rights Division; Civil Rights - Criminal Section; Civil Rights - Housing and Civil Enforcement Section; ,14-874; 
5462,None,Tax Division; ,14-869; 
5463,None,Criminal Division; ,14-870; 
5464,None,Criminal Division; ,14-871; 
5465,None,Criminal Division; ,14-872; 
5466,None,Civil Rights - Criminal Section; Office of the Attorney General; ,14-873; 
5467,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-868; 
5468,None,Civil Rights Division; Civil Rights - Criminal Section; Civil Rights - Disability Rights Section; ,14-860; 
5469,None,Criminal Division; ,14-861; 
5470,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-862; 
5471,None,Criminal Division; ,14-863; 
5472,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-864; 
5473,Wildlife; ,Environment and Natural Resources Division; ,14-865; 
5474,None,Criminal Division; ,14-866; 
5475,None,Civil Rights Division; ,14-867; 
5476,None,Civil Rights - Criminal Section; Office of the Attorney General; ,14-854; 
5477,None,Tax Division; ,14-855; 
5478,None,Civil Rights Division; Civil Rights - Criminal Section; Civil Rights - Housing and Civil Enforcement Section; ,14-856; 
5479,None,Criminal Division; ,14-857; 
5480,None,Criminal Division; ,14-858; 
5481,None,Criminal Division; ,14-859; 
5482,None,Criminal Division; ,14-851; 
5483,None,Civil Rights Division; Civil Rights - Criminal Section; Civil Rights - Educational Opportunities Section; ,14-852; 
5484,None,Criminal Division; ,14-853; 
5485,None,Criminal Division; ,14-486; 
5486,None,Tax Division; ,14-847; 
5487,None,Criminal Division; ,14-848; 
5488,None,Criminal Division; ,14-849; 
5489,None,Criminal Division; ,14-843; 
5490,None,Civil Rights - Criminal Section; Civil Rights - Housing and Civil Enforcement Section; Office of the Attorney General; ,14-844; 
5491,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-845; 
5492,Consumer Protection; ,Civil Division; ,14-840; 
5493,None,Civil Division; ,14-841; 
5494,None,Criminal Division; ,14-842; 
5495,None,Tax Division; ,14-830; 
5496,None,Criminal Division; ,14-831; 
5497,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-832; 
5498,None,Civil Rights Division; Civil Rights - Criminal Section; Civil Rights - Housing and Civil Enforcement Section; ,14-834; 
5499,None,Criminal Division; ,14-835; 
5500,None,Criminal Division; ,14-836; 
5501,None,Criminal Division; ,14-837; 
5502,None,Criminal Division; ,14-838; 
5503,None,Office of the Attorney General; ,14-839; 
5504,None,Criminal Division; ,14-829; 
5505,None,Civil Rights Division; ,14-825; 
5506,None,Criminal Division; ,14-827; 
5507,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-828; 
5508,None,Tax Division; ,14-818; 
5509,None,Office of the Attorney General; ,14-819; 
5510,None,Criminal Division; ,14-820; 
5511,None,Criminal Division; ,14-821; 
5512,None,Civil Division; ,14-822; 
5513,None,Tax Division; ,14-823; 
5514,None,Civil Division; ,14-814; 
5515,None,Environment and Natural Resources Division; ,14-815; 
5516,None,Criminal Division; ,14-816; 
5517,None,Criminal Division; ,14-817; 
5518,None,None,14-804; 
5519,None,Office of the Attorney General; ,14-805; 
5520,None,Antitrust Division; ,14-806; 
5521,None,Criminal Division; ,14-807; 
5522,None,Criminal Division; ,14-808; 
5523,None,Tax Division; ,14-809; 
5524,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,14-810; 
5525,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,14-811; 
5526,None,Tax Division; ,14-812; 
5527,None,Office of the Attorney General; ,14-813; 
5528,None,Antitrust Division; ,14-798; 
5529,None,Antitrust Division; ,14-799; 
5530,None,Tax Division; ,14-800; 
5531,Wildlife; ,Environment and Natural Resources Division; ,14-801; 
5532,None,Criminal Division; ,14-803; 
5533,None,Civil Rights Division; ,14-802; 
5534,None,Criminal Division; ,14-792; 
5535,None,Criminal Division; ,14-793; 
5536,None,Tax Division; ,14-796; 
5537,None,Criminal Division; ,14-797; 
5538,Wildlife; ,Environment and Natural Resources Division; ,14-795; 
5539,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,14-794; 
5540,None,Criminal Division; ,14-791; 
5541,None,Environment and Natural Resources Division; ,14-790; 
5542,None,Civil Division; ,14-789; 
5543,None,Criminal Division; ,14-787; 
5544,None,Criminal Division; ,14-786; 
5545,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,14-785; 
5546,None,Criminal Division; ,14-784; 
5547,None,Criminal Division; ,14-783; 
5548,None,Tax Division; ,14-782; 
5549,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,14-781; 
5550,None,Civil Division; ,14-780; 
5551,None,Criminal Division; ,14-779; 
5552,None,Criminal Division; ,14-778; 
5553,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-777; 
5554,Consumer Protection; ,Civil Division; ,14-776; 
5555,None,Criminal Division; ,14-775; 
5556,None,None,14-774; 
5557,None,Environment and Natural Resources Division; ,14-773; 
5558,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-772; 
5559,None,Office of Public Affairs; ,14-771; 
5560,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-770; 
5561,None,Civil Rights Division; ,14-769; 
5562,None,Civil Division; ,14-767; 
5563,None,Office of the Attorney General; ,14-766; 
5564,None,Civil Rights Division; ,14-765; 
5565,None,None,14-768; 
5566,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-764; 
5567,None,Criminal Division; ,14-763; 
5568,None,Criminal Division; ,14-762; 
5569,None,Criminal Division; ,14-761; 
5570,None,Tax Division; ,14-760; 
5571,None,Civil Division; ,14-759; 
5572,None,Criminal Division; ,14-757; 
5573,None,Office of the Attorney General; ,14-756; 
5574,None,Tax Division; ,14-755; 
5575,None,Civil Division; ,14-758; 
5576,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,14-754; 
5577,None,Criminal Division; ,14-753; 
5578,None,Criminal Division; ,14-752; 
5579,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,14-751; 
5580,None,Criminal Division; ,14-750; 
5581,None,Office of the Attorney General; ,14-749; 
5582,Hate Crimes; ,Civil Rights Division; ,14-748; 
5583,None,Tax Division; ,14-747; 
5584,None,Tax Division; ,14-746; 
5585,None,Environment and Natural Resources Division; ,14-745; 
5586,None,Tax Division; ,14-744; 
5587,None,Tax Division; ,14-743; 
5588,None,Tax Division; ,14-742; 
5589,Wildlife; ,Environment and Natural Resources Division; ,14-741; 
5590,None,Environment and Natural Resources Division; ,14-740; 
5591,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-739; 
5592,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-738; 
5593,None,Tax Division; ,14-737; 
5594,None,Tax Division; ,14-736; 
5595,None,Antitrust Division; ,14-735; 
5596,None,Criminal Division; ,14-734; 
5597,None,Office of the Attorney General; ,14-733; 
5598,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-731; 
5599,None,Civil Rights Division; ,14-730; 
5600,None,Tax Division; ,14-729; 
5601,None,Criminal Division; ,14-728; 
5602,None,Office of Tribal Justice; ,14-726; 
5603,None,Criminal Division; ,14-724; 
5604,None,Criminal Division; ,14-727; 
5605,None,Criminal Division; ,14-725; 
5606,None,Criminal Division; ,14-723; 
5607,None,Environment and Natural Resources Division; ,14-722; 
5608,None,Criminal Division; ,14-721; 
5609,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-720; 
5610,None,Criminal Division; ,14-719; 
5611,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,14-718; 
5612,None,Criminal Division; ,14-717; 
5613,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,14-716; 
5614,None,Tax Division; ,14-715; 
5615,None,Office of the Deputy Attorney General; ,14-714; 
5616,None,Office of the Associate Attorney General; ,14-713; 
5617,Consumer Protection; ,Civil Division; ,14-712; 
5618,None,Office of the Deputy Attorney General; ,14-711; 
5619,None,Criminal Division; ,14-710; 
5620,None,Tax Division; ,14-709; 
5621,None,Tax Division; ,14-708; 
5622,None,Tax Division; ,14-707; 
5623,None,Tax Division; ,14-706; 
5624,None,Civil Division; ,14-705; 
5625,None,Office of the Attorney General; ,14-704; 
5626,None,Criminal Division; ,14-702; 
5627,None,Criminal Division; ,14-700; 
5628,None,Criminal Division; ,14-699; 
5629,None,Tax Division; ,14-698; 
5630,None,Office of the Attorney General; ,14-697; 
5631,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-696; 
5632,None,Tax Division; ,14-695; 
5633,None,Criminal Division; ,14-694; 
5634,None,Criminal Division; ,14-693; 
5635,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-692; 
5636,None,Civil Rights Division; ,14-691; 
5637,None,Tax Division; ,14-690; 
5638,None,Tax Division; ,14-688; 
5639,Consumer Protection; ,Civil Division; ,14-689; 
5640,Consumer Protection; ,Civil Division; ,14-687; 
5641,None,Office of the Attorney General; ,14-686; 
5642,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-685; 
5643,None,Antitrust Division; ,14-683; 
5644,None,Civil Division; ,14-684; 
5645,None,National Security Division (NSD); Office of the Attorney General; ,14-682; 
5646,None,Tax Division; ,14-681; 
5647,None,Criminal Division; ,14-680; 
5648,None,Antitrust Division; ,14-678; 
5649,None,Tax Division; ,14-677; 
5650,None,Office of Public Affairs; ,14-676; 
5651,None,Criminal Division; ,14-675; 
5652,None,Tax Division; ,14-674; 
5653,None,Antitrust Division; ,14-672; 
5654,None,Criminal Division; ,14-673; 
5655,None,Tax Division; ,14-671; 
5656,None,Civil Division; ,14-670; 
5657,None,Office of the Attorney General; ,14-669; 
5658,None,Office of the Attorney General; ,14-668; 
5659,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-667; 
5660,Wildlife; ,Environment and Natural Resources Division; ,14-666; 
5661,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,14-665; 
5662,None,Criminal Division; ,14-664; 
5663,None,Criminal Division; ,14-663; 
5664,None,Criminal Division; ,14-662; 
5665,None,Criminal Division; ,14-661; 
5666,None,Criminal Division; ,14-660; 
5667,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-659; 
5668,Consumer Protection; ,Civil Division; ,14-658; 
5669,Consumer Protection; ,Office of the Attorney General; ,14-657; 
5670,None,Criminal Division; ,14-656; 
5671,None,Office of the Attorney General; ,14-655; 
5672,None,Criminal Division; ,14-654; 
5673,None,Office of the Attorney General; ,14-653; 
5674,None,Environment and Natural Resources Division; ,14-652; 
5675,None,Criminal Division; ,14-650; 
5676,None,Criminal Division; ,14-648; 
5677,None,Criminal Division; ,14-647; 
5678,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,14-651; 
5679,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,14-649; 
5680,Consumer Protection; ,Civil Division; ,14-643; 
5681,None,Criminal Division; ,14-642; 
5682,None,Tax Division; ,14-640; 
5683,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-639; 
5684,Consumer Protection; ,Civil Division; ,14-638; 
5685,None,Office of the Attorney General; ,14-637; 
5686,None,None,14-641; 
5687,None,Tax Division; ,14-636; 
5688,None,Criminal Division; ,14-635; 
5689,Consumer Protection; ,Civil Division; ,14-634; 
5690,None,Tax Division; ,14-633; 
5691,None,Criminal Division; ,14-632; 
5692,None,Office of the Attorney General; ,14-630; 
5693,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-629; 
5694,None,Tax Division; ,14-628; 
5695,None,Criminal Division; ,14-627; 
5696,None,Civil Rights Division; ,14-626; 
5697,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-625; 
5698,None,Office of the Associate Attorney General; ,14-624; 
5699,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,14-623; 
5700,Consumer Protection; ,Civil Division; ,14-622; 
5701,None,Criminal Division; ,14-621; 
5702,None,Tax Division; ,14-620; 
5703,None,Office of the Attorney General; ,14-619; 
5704,None,Civil Rights Division; ,14-618; 
5705,None,Civil Rights Division; ,14-617; 
5706,None,Civil Rights Division; ,14-616; 
5707,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,14-615; 
5708,None,Tax Division; ,14-614; 
5709,None,Office of the Attorney General; ,14-613; 
5710,None,Criminal Division; ,14-612; 
5711,None,Criminal Division; ,14-611; 
5712,None,Civil Rights Division; ,14-610; 
5713,None,Office of the Attorney General; ,14-609; 
5714,None,Office of the Associate Attorney General; ,14-608; 
5715,None,Tax Division; ,14-607; 
5716,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,14-606; 
5717,None,Tax Division; ,14-605; 
5718,None,Civil Rights Division; ,14-604; 
5719,None,Environment and Natural Resources Division; ,14-603; 
5720,None,Antitrust Division; ,14-602; 
5721,None,Criminal Division; ,14-601; 
5722,None,Criminal Division; ,14-600; 
5723,None,Antitrust Division; ,14-599; 
5724,None,Tax Division; ,14-598; 
5725,None,Tax Division; ,14-597; 
5726,None,Criminal Division; ,14-596; 
5727,None,Criminal Division; ,14-595; 
5728,None,Criminal Division; ,14-593; 
5729,None,Civil Rights Division; ,14-590; 
5730,Consumer Protection; ,Civil Division; ,14-591; 
5731,None,Criminal Division; ,14-589; 
5732,None,Tax Division; ,14-587; 
5733,None,Criminal Division; ,14-588; 
5734,None,Civil Rights Division; ,14-586; 
5735,None,Criminal Division; ,14-585; 
5736,None,Criminal Division; ,14-584; 
5737,None,Criminal Division; ,14-583; 
5738,None,Criminal Division; ,14-582; 
5739,None,Civil Rights Division; ,14-581; 
5740,None,Criminal Division; ,14-580; 
5741,None,Civil Division; ,14-579; 
5742,None,Tax Division; ,14-578; 
5743,None,Civil Rights Division; ,14-577; 
5744,None,Criminal Division; ,14-576; 
5745,None,Tax Division; ,14-574; 
5746,None,Criminal Division; ,14-573; 
5747,None,Office of the Attorney General; ,14-565; 
5748,None,Tax Division; ,14-572; 
5749,None,Civil Division; ,14-571; 
5750,None,Office of the Deputy Attorney General; ,14-570; 
5751,None,Criminal Division; ,14-569; 
5752,None,Civil Division; ,14-567; 
5753,Wildlife; ,Environment and Natural Resources Division; ,14-566; 
5754,None,Tax Division; ,14-563; 
5755,None,Criminal Division; ,14-562; 
5756,None,Criminal Division; ,14-559; 
5757,None,Criminal Division; ,14-561; 
5758,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,14-560; 
5759,None,Tax Division; ,14-558; 
5760,None,Criminal Division; ,14-556; 
5761,None,Antitrust Division; ,14-555; 
5762,None,Criminal Division; ,14-554; 
5763,None,Criminal Division; ,14-553; 
5764,None,Tax Division; ,14-552; 
5765,None,Office of the Attorney General; ,14-548; 
5766,None,Criminal Division; ,14-551; 
5767,None,Tax Division; ,14-550; 
5768,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-549; 
5769,None,Criminal Division; ,14-547; 
5770,None,Tax Division; ,14-545; 
5771,None,Criminal Division; ,14-543; 
5772,None,Criminal Division; ,14-542; 
5773,None,Civil Rights Division; ,14-541; 
5774,None,Criminal Division; ,14-540; 
5775,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-539; 
5776,None,Environment and Natural Resources Division; ,14-538; 
5777,None,Criminal Division; ,14-537; 
5778,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,14-536; 
5779,None,Antitrust Division; ,14-535; 
5780,None,Office of the Attorney General; ,14-531; 
5781,None,Office of the Attorney General; ,14-534; 
5782,None,Office of the Attorney General; ,14-533; 
5783,None,National Security Division (NSD); ,14-532; 
5784,None,Tax Division; ,14-530; 
5785,None,Criminal Division; ,14-529; 
5786,Intellectual Property; ,Office of the Attorney General; ,14-528; 
5787,None,Antitrust Division; ,14-525; 
5788,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-526; 
5789,None,Criminal Division; ,14-524; 
5790,None,Tax Division; ,14-523; 
5791,None,Tax Division; ,14-521; 
5792,None,Criminal Division; ,14-520; 
5793,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-519; 
5794,None,Criminal Division; ,14-418; 
5795,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-517; 
5796,None,Criminal Division; ,14-516; 
5797,None,Office of the Attorney General; ,14-510; 
5798,None,Environment and Natural Resources Division; ,14-515; 
5799,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-514; 
5800,None,Office of the Attorney General; ,14-507; 
5801,None,Antitrust Division; ,14-512; 
5802,None,Criminal Division; ,14-513; 
5803,None,Environment and Natural Resources Division; ,14-511; 
5804,None,Office of the Attorney General; ,14-509; 
5805,None,Office of the Attorney General; ,14-505; 
5806,None,Tax Division; ,14-508; 
5807,Consumer Protection; ,Civil Division; ,14-506; 
5808,None,Criminal Division; ,14-504; 
5809,None,Criminal Division; ,14-503; 
5810,Servicemembers Initiative; ,Civil Rights - Housing and Civil Enforcement Section; Office of the Attorney General; ,14-502; 
5811,None,Office of the Attorney General; ,14-501; 
5812,None,Criminal Division; ,14-500; 
5813,None,Civil Rights Division; ,14-499; 
5814,None,Tax Division; ,14-498; 
5815,None,Civil Rights Division; ,14-497; 
5816,Consumer Protection; ,Civil Division; ,14-493; 
5817,None,Criminal Division; ,14-496; 
5818,None,Criminal Division; ,14-495; 
5819,None,Antitrust Division; ,14-494; 
5820,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-491; 
5821,None,Tax Division; ,14-492; 
5822,None,Office of the Deputy Attorney General; ,14-490; 
5823,None,Criminal Division; ,14-489; 
5824,None,Criminal Division; ,14-486; 
5825,None,Criminal Division; ,14-485; 
5826,None,Civil Division; ,14-484; 
5827,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; Office of the Attorney General; ,14-483; 
5828,None,Tax Division; ,14-482; 
5829,None,Criminal Division; ,14-481; 
5830,None,Civil Rights Division; ,14-479; 
5831,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-478; 
5832,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-477; 
5833,None,Civil Division; ,14-476; 
5834,None,Antitrust Division; ,14-475; 
5835,None,Criminal Division; ,14-474; 
5836,None,Tax Division; ,14-473; 
5837,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,14-472; 
5838,None,Criminal Division; ,14-471; 
5839,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,14-470; 
5840,None,Tax Division; ,14-469; 
5841,None,Criminal Division; ,14-468; 
5842,None,Criminal Division; ,14-465; 
5843,None,Criminal Division; ,14-466; 
5844,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-464; 
5845,None,Tax Division; ,14-463; 
5846,None,Antitrust Division; ,14-461; 
5847,None,Tax Division; ,14-460; 
5848,None,Criminal Division; ,14-459; 
5849,None,Tax Division; ,14-458; 
5850,None,Tax Division; ,14-457; 
5851,Consumer Protection; ,Civil Division; ,14-456; 
5852,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-455; 
5853,Consumer Protection; ,Civil Division; ,14-454; 
5854,None,Tax Division; ,14-453; 
5855,None,Tax Division; ,14-452; 
5856,None,Tax Division; ,14-451; 
5857,None,National Security Division (NSD); ,14-450; 
5858,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-448; 
5859,None,Criminal Division; ,14-449; 
5860,None,Criminal Division; ,14-447; 
5861,None,Criminal Division; ,14-446; 
5862,None,Office of the Attorney General; ,14-445; 
5863,None,Office of the Attorney General; ,14-444; 
5864,None,Antitrust Division; ,14-443; 
5865,None,Office of the Attorney General; ,14-440; 
5866,None,Tax Division; ,14-439; 
5867,None,Office on Violence Against Women; ,14-438; 
5868,None,Antitrust Division; ,14-437; 
5869,None,Justice Management Division; ,14-427; 
5870,None,Antitrust Division; ,14-435; 
5871,None,Tax Division; ,14-436; 
5872,None,Criminal Division; ,14-434; 
5873,None,Criminal Division; ,14-433; 
5874,None,Tax Division; ,14-432; 
5875,None,Civil Rights Division; ,14-431; 
5876,None,Criminal Division; ,14-430; 
5877,None,Antitrust Division; ,14-426; 
5878,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-429; 
5879,None,Criminal Division; ,14-428; 
5880,None,Environment and Natural Resources Division; ,14-425; 
5881,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-423; 
5882,Wildlife; ,Environment and Natural Resources Division; ,14-424; 
5883,None,Civil Division; ,14-422; 
5884,None,National Security Division (NSD); ,14-421; 
5885,Access to Justice; ,Office for Access to Justice; Office of the Deputy Attorney General; ,14-419; 
5886,None,Antitrust Division; ,14-420; 
5887,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,14-418; 
5888,None,Tax Division; ,14-417; 
5889,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-416; 
5890,None,Environment and Natural Resources Division; ,14-414; 
5891,None,Civil Rights Division; ,14-413; 
5892,None,Office of Public Affairs; Office on Violence Against Women; ,14-411; 
5893,Access to Justice; ,Office for Access to Justice; Office of the Attorney General; ,14-409; 
5894,None,Criminal Division; ,14-407; 
5895,None,Tax Division; ,14-406; 
5896,None,Criminal Division; ,14-405; 
5897,None,Environment and Natural Resources Division; ,14-404; 
5898,None,Civil Rights Division; ,14-403; 
5899,None,Antitrust Division; ,14-402; 
5900,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-401; 
5901,None,Environment and Natural Resources Division; ,14-399; 
5902,None,Criminal Division; ,14-400; 
5903,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-397; 
5904,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-396; 
5905,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,14-393; 
5906,None,Civil Division; ,14-395; 
5907,None,Antitrust Division; ,14-394; 
5908,None,Civil Division; ,14-391; 
5909,None,Criminal Division; ,14-389; 
5910,None,Tax Division; ,14-388; 
5911,None,Tax Division; ,14-387; 
5912,None,Tax Division; ,14-385; 
5913,None,Antitrust Division; ,14-386; 
5914,None,Office of Public Affairs; ,14-384; 
5915,None,Office of the Attorney General; ,14-380; 
5916,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-383; 
5917,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-382; 
5918,None,Criminal Division; ,14-381; 
